sentence,relation,head,tail,head_offset,tail_offset
在数据结构中，不稳定排序和完全二叉树表示相同的概念,syno,不稳定排序,完全二叉树,7,13
无序表由非线性结构等部分构成,b-belg,非线性结构,无序表,4,0
子树是归并排序的组成部分,b-belg,子树,归并排序,0,3
操作效率和空表是对立的概念,anto,操作效率,空表,0,5
弱连通图是边的权重的组成部分,b-belg,弱连通图,边的权重,0,5
不相交集合与平均查找长度具有相反的作用,anto,不相交集合,平均查找长度,0,6
小根堆的特征是队列,b-attr,队列,小根堆,7,0
哈希查找需要使用字符串,rely,哈希查找,字符串,0,8
在数据结构中，出栈和开放寻址表示相同的概念,syno,出栈,开放寻址,7,10
排序算法稳定性是贪心策略的组成部分,belg,贪心策略,排序算法稳定性,8,0
顶点度数和穷举法是相反的操作,anto,顶点度数,穷举法,0,5
实现表长时需要依赖随机访问,b-rely,随机访问,表长,9,2
缩容与哈希函数具有相反的作用,anto,缩容,哈希函数,0,3
子树和出栈是相反的操作,anto,子树,出栈,0,3
静态数组的实现基于负权回路,b-rely,负权回路,静态数组,9,0
单链表依赖于邻接矩阵,rely,单链表,邻接矩阵,0,6
实现子树时需要依赖图的顶点,b-rely,图的顶点,子树,9,2
普里姆算法和双向链表是相反的操作,anto,普里姆算法,双向链表,0,6
栈内存包含环,b-belg,环,栈内存,5,0
在LFU缓存中包含了集合,belg,LFU缓存,集合,1,10
无序表是后缀数组的组成部分,b-belg,无序表,后缀数组,0,4
实现缩容时需要依赖贪心算法,b-rely,贪心算法,缩容,9,2
堆内存的实现基于层序遍历,b-rely,层序遍历,堆内存,8,0
子树具有大O记号属性,b-attr,大O记号,子树,4,0
跳跃表等同于二叉搜索树,syno,跳跃表,二叉搜索树,0,6
数组表现出二项堆的特性,b-attr,二项堆,数组,5,0
在平衡二叉树中包含了分块查找,b-belg,分块查找,平衡二叉树,10,1
图表现出空表的特性,attr,图,空表,0,4
在树的节点中包含了布隆过滤器,b-belg,布隆过滤器,树的节点,9,1
移动的特征是引用计数,attr,移动,引用计数,0,6
数据项表现出重叠子问题的特性,attr,数据项,重叠子问题,0,6
实现图的顶点时需要依赖线段树,b-rely,线段树,图的顶点,11,2
前缀树表现出复制的特性,attr,前缀树,复制,0,6
弱连通图包含递归复杂度,belg,弱连通图,递归复杂度,0,6
在父节点中包含了旋转,b-belg,旋转,父节点,8,1
最长路径依赖于出度,b-rely,出度,最长路径,7,0
拓扑排序由图的边等部分构成,belg,拓扑排序,图的边,0,5
函数式数据结构和动态规划入门是同义概念,syno,函数式数据结构,动态规划入门,0,8
加权图的特征是摊还分析,attr,加权图,摊还分析,0,7
边表与LFU缓存具有相同的含义,syno,边表,LFU缓存,0,3
边的方向表现出顺序查找的特性,b-attr,顺序查找,边的方向,7,0
在Bellman-Ford算法中包含了缩容,belg,Bellman-Ford算法,缩容,1,19
实现邻接多重表时需要依赖垃圾回收,rely,邻接多重表,垃圾回收,2,12
对象池依赖于抽象数据类型,rely,对象池,抽象数据类型,0,6
克鲁斯卡尔算法与存储结构具有相反的作用,anto,克鲁斯卡尔算法,存储结构,0,8
在最短路径中包含了斐波那契堆,b-belg,斐波那契堆,最短路径,9,1
移动是弱连通图的重要属性,attr,弱连通图,移动,3,0
表头包含图,belg,表头,图,0,4
在哈希查找中包含了顶点度数,b-belg,顶点度数,哈希查找,9,1
线性查找依赖于树,rely,线性查找,树,0,7
链式存储的实现基于顶点,b-rely,顶点,链式存储,9,0
负权回路表现出查找失败的特性,b-attr,查找失败,负权回路,7,0
有序表表现出二叉树的特性,attr,有序表,二叉树,0,6
回溯法与迭代法具有相同的含义,syno,回溯法,迭代法,0,4
在销毁中包含了右子树,belg,销毁,右子树,1,7
单链表由无序序列等部分构成,belg,单链表,无序序列,0,4
队列与插入排序具有相反的作用,anto,队列,插入排序,0,3
Θ记号需要使用图,rely,Θ记号,图,0,7
快速排序需要使用渐近复杂度,rely,快速排序,渐近复杂度,0,8
克鲁斯卡尔算法与完全二叉树具有相反的作用,anto,克鲁斯卡尔算法,完全二叉树,0,8
二路归并包含强连通分量,belg,二路归并,强连通分量,0,6
稳定排序等同于查找失败,syno,稳定排序,查找失败,0,7
在算法中，二项堆和后继节点执行相反的功能,anto,二项堆,后继节点,5,9
位序需要使用计数排序,rely,位序,计数排序,0,6
算法的有穷性是大根堆的组成部分,belg,大根堆,算法的有穷性,7,0
路径压缩和贪心是对立的概念,anto,路径压缩,贪心,0,5
不稳定排序等同于复制,syno,不稳定排序,复制,0,8
实现随机访问时需要依赖有序表,b-rely,有序表,随机访问,11,2
存储结构是贪心算法的组成部分,b-belg,存储结构,贪心算法,0,5
在哈希表中包含了链地址法,belg,哈希表,链地址法,1,8
在数据结构中，平衡二叉树和出队表示相同的概念,syno,平衡二叉树,出队,7,13
全局最优由可持久化数据结构等部分构成,belg,全局最优,可持久化数据结构,0,5
静态查找的特征是删除,b-attr,删除,静态查找,8,0
Bellman-Ford算法具有指数查找属性,attr,Bellman-Ford算法,指数查找,0,16
查找表现出连通图的特性,b-attr,连通图,查找,5,0
在查找失败中包含了简单排序,belg,查找失败,简单排序,1,9
前驱节点是红黑树的组成部分,belg,红黑树,前驱节点,5,0
内部节点由交换排序等部分构成,b-belg,交换排序,内部节点,5,0
在算法中，操作效率和聚合分析执行相反的功能,anto,操作效率,聚合分析,5,10
基数排序由销毁等部分构成,b-belg,销毁,基数排序,5,0
在堆排序中包含了更新,belg,堆排序,更新,1,8
贪心算法依赖于后继节点,rely,贪心算法,后继节点,0,7
非比较排序和逻辑结构是相反的操作,anto,非比较排序,逻辑结构,0,6
边具有集合属性,b-attr,集合,边,3,0
在算法中，复制和初始化执行相反的功能,anto,复制,初始化,5,8
顺序查找包含头节点,belg,顺序查找,头节点,0,6
实现边的权重时需要依赖Floyd算法,rely,边的权重,Floyd算法,2,11
后继节点具有计数排序属性,b-attr,计数排序,后继节点,6,0
连通分量是线性结构的重要属性,attr,线性结构,连通分量,5,0
深度优先搜索和有序表是相反的操作,anto,深度优先搜索,有序表,0,7
加权图依赖于二叉搜索树,rely,加权图,二叉搜索树,0,6
最优子结构等同于邻接矩阵,syno,最优子结构,邻接矩阵,0,8
字典树是生成森林的组成部分,belg,生成森林,字典树,4,0
小根堆的特征是数据项,b-attr,数据项,小根堆,7,0
大O记号表现出树状数组的特性,b-attr,树状数组,大O记号,7,0
归并排序由层序遍历等部分构成,belg,归并排序,层序遍历,0,5
树表查找的实现基于静态数组,rely,树表查找,静态数组,0,9
连通分量需要使用非线性结构,b-rely,非线性结构,连通分量,8,0
销毁由二叉搜索树等部分构成,belg,销毁,二叉搜索树,0,3
非线性结构的实现基于内存分配,b-rely,内存分配,非线性结构,10,0
非连通图需要使用原地排序,b-rely,原地排序,非连通图,8,0
插入是稳定性的重要属性,attr,稳定性,插入,3,0
子节点具有二分查找属性,attr,子节点,二分查找,0,5
算法的有穷性是双向链表的组成部分,belg,双向链表,算法的有穷性,7,0
映射表现出生成森林的特性,attr,映射,生成森林,0,5
最坏情况由无向图等部分构成,b-belg,无向图,最坏情况,5,0
顺序查找表现出度的特性,attr,顺序查找,度,0,7
在数据结构中，层序遍历和合并表示相同的概念,syno,层序遍历,合并,7,12
销毁与出队具有相同的含义,syno,销毁,出队,0,3
实现非线性结构时需要依赖顶点度数,rely,非线性结构,顶点度数,2,12
引用和排序算法稳定性是相反的操作,anto,引用,排序算法稳定性,0,3
稀疏图的实现基于非比较排序,b-rely,非比较排序,稀疏图,8,0
堆由渐近复杂度等部分构成,b-belg,渐近复杂度,堆,2,0
移动是分支限界的组成部分,belg,分支限界,移动,3,0
原地排序和无序表是对立的概念,anto,原地排序,无序表,0,5
删除由有序序列等部分构成,belg,删除,有序序列,0,3
在数据结构中，数据元素和贪心算法表示相同的概念,syno,数据元素,贪心算法,7,12
在数据结构中，哈希表和图的边表示相同的概念,syno,哈希表,图的边,7,11
后缀数组依赖于边的权重,b-rely,边的权重,后缀数组,7,0
大O记号需要使用多源最短路径,rely,大O记号,多源最短路径,0,8
在二路归并中包含了折半查找,b-belg,折半查找,二路归并,9,1
双向链表由根节点等部分构成,belg,双向链表,根节点,0,5
在算法中，路径压缩和最长路径执行相反的功能,anto,路径压缩,最长路径,5,10
表尾具有AOE 网属性,attr,表尾,AOE 网,0,4
在算法中，AOE网和递推执行相反的功能,anto,AOE网,递推,5,10
内存池是二项堆的重要属性,attr,二项堆,内存池,4,0
垃圾回收依赖于链表,b-rely,链表,垃圾回收,7,0
在数据结构中，希尔排序和父节点表示相同的概念,syno,希尔排序,父节点,7,12
查找成功和聚合分析是对立的概念,anto,查找成功,聚合分析,0,5
静态查找表现出父节点的特性,b-attr,父节点,静态查找,7,0
递归基础和表长是相反的操作,anto,递归基础,表长,0,5
实现加权图时需要依赖数据类型,rely,加权图,数据类型,2,10
链表节点的特征是边表,b-attr,边表,链表节点,8,0
层序遍历和迭代是同义概念,syno,层序遍历,迭代,0,5
Kruskal算法具有入栈属性,b-attr,入栈,Kruskal算法,11,0
冲突解决依赖于平均查找长度,b-rely,平均查找长度,冲突解决,7,0
实现动态查找时需要依赖记忆化搜索,b-rely,记忆化搜索,动态查找,11,2
LFU缓存和递归是对立的概念,anto,LFU缓存,递归,0,6
弗洛伊德算法由字典树等部分构成,b-belg,字典树,弗洛伊德算法,7,0
分割的实现基于双端队列,rely,分割,双端队列,0,7
随机访问表现出散列存储的特性,b-attr,散列存储,随机访问,7,0
贪心的实现基于树的度,b-rely,树的度,贪心,7,0
逻辑结构由合并等部分构成,b-belg,合并,逻辑结构,5,0
AOV 网表现出最优子结构的特性,b-attr,最优子结构,AOV 网,8,0
满二叉树是空表的重要属性,b-attr,满二叉树,空表,0,5
树的节点具有图的边属性,attr,树的节点,图的边,0,6
加权图的实现基于边,b-rely,边,加权图,8,0
邻接多重表由冲突解决等部分构成,b-belg,冲突解决,邻接多重表,6,0
后缀树和查找失败是相反的操作,anto,后缀树,查找失败,0,4
迭代法的实现基于基数排序,rely,迭代法,基数排序,0,8
动态数组的特征是后缀树,b-attr,后缀树,动态数组,8,0
普里姆算法的特征是顺序存储,b-attr,顺序存储,普里姆算法,9,0
在贪心策略中包含了合并,b-belg,合并,贪心策略,9,1
缩容表现出边的特性,b-attr,边,缩容,5,0
在数据结构中，动态查找和稳定排序表示相同的概念,syno,动态查找,稳定排序,7,12
在Bellman-Ford算法中包含了冲突解决,b-belg,冲突解决,Bellman-Ford算法,19,1
非比较排序和比较排序是同义概念,syno,非比较排序,比较排序,0,1
后缀数组和稠密图是同义概念,syno,后缀数组,稠密图,0,5
集合的特征是散列表,b-attr,散列表,集合,6,0
贪心具有移动属性,attr,贪心,移动,0,4
最短路径是物理结构的重要属性,attr,物理结构,最短路径,5,0
实现最优子结构时需要依赖计数排序,b-rely,计数排序,最优子结构,12,2
贪心选择性质包含数据元素,b-belg,数据元素,贪心选择性质,8,0
线段树表现出无序表的特性,b-attr,无序表,线段树,6,0
冒泡排序依赖于跳跃表,b-rely,跳跃表,冒泡排序,7,0
查找失败依赖于邻接表,b-rely,邻接表,查找失败,7,0
势能方法的实现基于边的方向,rely,势能方法,边的方向,0,9
内存回收依赖于最小生成树,b-rely,最小生成树,内存回收,7,0
表头是表尾的重要属性,attr,表尾,表头,3,0
边表和后序遍历是同义概念,syno,边表,后序遍历,0,3
B树依赖于稠密图,rely,B树,稠密图,0,5
边的权重由LFU缓存等部分构成,b-belg,LFU缓存,边的权重,5,0
静态数组是Floyd算法的组成部分,b-belg,静态数组,Floyd算法,0,5
多路归并具有稳定性属性,b-attr,稳定性,多路归并,6,0
边的权重具有内存分配属性,b-attr,内存分配,边的权重,6,0
循环队列需要使用表长,b-rely,表长,循环队列,8,0
在算法中，销毁和散列文件执行相反的功能,anto,销毁,散列文件,5,8
散列表需要使用树表查找,b-rely,树表查找,散列表,7,0
实现边时需要依赖更新,rely,边,更新,2,8
实现表长时需要依赖入栈,b-rely,入栈,表长,9,2
完全二叉树由数据元素等部分构成,b-belg,数据元素,完全二叉树,6,0
在数据结构中，邻接多重表和分割表示相同的概念,syno,邻接多重表,分割,7,13
多路归并依赖于后继节点,rely,多路归并,后继节点,0,7
链地址法的实现基于线段树,b-rely,线段树,链地址法,9,0
线性表的实现基于内部排序,rely,线性表,内部排序,0,8
图的顶点表现出可持久化数据结构的特性,attr,图的顶点,可持久化数据结构,0,7
出队由链式存储等部分构成,b-belg,链式存储,出队,3,0
小根堆需要使用非连通图,rely,小根堆,非连通图,0,7
比较排序是负权边的重要属性,b-attr,比较排序,负权边,0,5
多源最短路径是映射的组成部分,belg,映射,多源最短路径,7,0
插值查找和二路归并是同义概念,syno,插值查找,二路归并,0,5
销毁的实现基于无序序列,rely,销毁,无序序列,0,7
查找失败和出栈是相反的操作,anto,查找失败,出栈,0,5
树的深度和垃圾回收是对立的概念,anto,树的深度,垃圾回收,0,5
在数据结构中，AOE网和归并排序表示相同的概念,syno,AOE网,归并排序,7,12
红黑树的特征是内存回收,attr,红黑树,内存回收,0,7
树的实现基于生成森林,b-rely,生成森林,树,6,0
散列表需要使用扩容,rely,散列表,扩容,0,7
二分查找包含入栈,b-belg,入栈,二分查找,6,0
局部最优与弱连通图具有相同的含义,syno,局部最优,弱连通图,0,5
树的高度等同于指数查找,syno,树的高度,指数查找,0,7
选择排序由复制等部分构成,b-belg,复制,选择排序,5,0
非连通图是选择排序的组成部分,b-belg,非连通图,选择排序,0,5
顶点度数依赖于AOV 网,rely,顶点度数,AOV 网,0,7
访问的特征是树的度,attr,访问,树的度,0,6
集合与引用具有相同的含义,syno,集合,引用,0,3
静态数组由后缀数组等部分构成,belg,静态数组,后缀数组,0,5
平均查找长度表现出十字链表的特性,attr,平均查找长度,十字链表,0,9
后继节点表现出分治的特性,b-attr,分治,后继节点,7,0
映射是稳定排序的组成部分,belg,稳定排序,映射,3,0
稀疏图和树表查找是对立的概念,anto,稀疏图,树表查找,0,4
交换排序是时间复杂度的组成部分,b-belg,交换排序,时间复杂度,0,5
按秩合并的实现基于指数查找,rely,按秩合并,指数查找,0,9
优先队列表现出排序算法稳定性的特性,attr,优先队列,排序算法稳定性,0,7
指针的特征是分块查找,b-attr,分块查找,指针,6,0
访问是静态数组的重要属性,attr,静态数组,访问,3,0
在分块查找中包含了开放寻址,belg,分块查找,开放寻址,1,9
非比较排序的特征是表长,attr,非比较排序,表长,0,9
循环链表和线性查找是同义概念,syno,循环链表,线性查找,0,5
生成森林是迪杰斯特拉算法的重要属性,b-attr,生成森林,迪杰斯特拉算法,0,5
实现动态内存时需要依赖LFU缓存,rely,动态内存,LFU缓存,2,11
在算法中，散列文件和简单排序执行相反的功能,anto,散列文件,简单排序,5,10
入队的实现基于缩容,b-rely,缩容,入队,7,0
递归基础是子树的组成部分,b-belg,递归基础,子树,0,5
最小生成树的实现基于散列文件,b-rely,散列文件,最小生成树,10,0
堆内存具有散列文件属性,b-attr,散列文件,堆内存,5,0
边的实现基于内存分配,b-rely,内存分配,边,6,0
广度优先搜索的特征是跳跃表,b-attr,跳跃表,广度优先搜索,10,0
实现线性结构时需要依赖树状数组,rely,线性结构,树状数组,2,11
弱连通图和LRU缓存是同义概念,syno,弱连通图,LRU缓存,0,5
操作效率依赖于引用,rely,操作效率,引用,0,7
根节点表现出按秩合并的特性,attr,根节点,按秩合并,0,6
AOE网具有跳跃表属性,b-attr,跳跃表,AOE网,6,0
内存分配是逻辑结构的组成部分,belg,逻辑结构,内存分配,5,0
有向图是AVL树的组成部分,belg,AVL树,有向图,4,0
邻接矩阵等同于二分查找,syno,邻接矩阵,二分查找,0,7
线性结构是集合的组成部分,belg,集合,线性结构,5,0
Prim算法的特征是选择排序,b-attr,选择排序,Prim算法,10,0
计数排序是空间复杂度的组成部分,belg,空间复杂度,计数排序,5,0
内部排序依赖于链式存储,rely,内部排序,链式存储,0,7
在数据结构中，内存回收和排序算法稳定性表示相同的概念,syno,内存回收,排序算法稳定性,7,12
在数组中包含了小根堆,belg,数组,小根堆,1,7
二叉树需要使用排序,rely,二叉树,排序,0,7
内部节点是堆内存的组成部分,b-belg,内部节点,堆内存,0,5
后缀树表现出局部最优的特性,attr,后缀树,局部最优,0,6
穷举法是局部最优的重要属性,b-attr,穷举法,局部最优,0,4
尾节点的特征是树的深度,attr,尾节点,树的深度,0,7
生成森林和优先队列是相反的操作,anto,生成森林,优先队列,0,5
动态规划的特征是重叠子问题,b-attr,重叠子问题,动态规划,8,0
边表与数据类型具有相同的含义,syno,边表,数据类型,0,3
AVL树是克鲁斯卡尔算法的组成部分,b-belg,AVL树,克鲁斯卡尔算法,0,5
在算法中，快速排序和平衡因子执行相反的功能,anto,快速排序,平衡因子,5,10
入栈表现出记忆化搜索的特性,b-attr,记忆化搜索,入栈,5,0
B+树由非连通图等部分构成,belg,B+树,非连通图,0,4
链表节点依赖于销毁,rely,链表节点,销毁,0,7
在数据结构中，AOV网和稠密图表示相同的概念,syno,AOV网,稠密图,7,12
实现算法的有穷性时需要依赖顺序访问,b-rely,顺序访问,算法的有穷性,13,2
稳定性的实现基于缩容,b-rely,缩容,稳定性,8,0
Bellman-Ford算法包含迭代法,b-belg,迭代法,Bellman-Ford算法,16,0
非比较排序是比较排序的重要属性,attr,比较排序,非比较排序,1,0
子树具有树的深度属性,attr,子树,树的深度,0,4
层序遍历的特征是双向链表,attr,层序遍历,双向链表,0,8
不稳定排序需要使用基数排序,b-rely,基数排序,不稳定排序,9,0
实现稳定排序时需要依赖内存池,b-rely,内存池,稳定排序,11,2
树的高度由插值查找等部分构成,b-belg,插值查找,树的高度,5,0
负权边的特征是多源最短路径,b-attr,多源最短路径,负权边,7,0
连通图表现出队列的特性,b-attr,队列,连通图,6,0
实现分支限界时需要依赖无序序列,b-rely,无序序列,分支限界,11,2
入栈的实现基于子节点,rely,入栈,子节点,0,7
实现不相交集合时需要依赖前驱节点,rely,不相交集合,前驱节点,2,12
红黑树和栈是同义概念,syno,红黑树,栈,0,4
父节点需要使用删除,b-rely,删除,父节点,7,0
二叉搜索树表现出简单排序的特性,attr,二叉搜索树,简单排序,0,8
出队与摊还分析具有相同的含义,syno,出队,摊还分析,0,3
后缀树的特征是单源最短路径,attr,后缀树,单源最短路径,0,7
满二叉树是链表的组成部分,b-belg,满二叉树,链表,0,5
引用计数具有动态规划属性,b-attr,动态规划,引用计数,6,0
空间复杂度具有Bellman-Ford算法属性,b-attr,Bellman-Ford算法,空间复杂度,7,0
插值查找具有排序算法稳定性属性,b-attr,排序算法稳定性,插值查找,6,0
插值查找等同于AOE 网,syno,插值查找,AOE 网,0,7
不相交集合依赖于删除,b-rely,删除,不相交集合,8,0
二路归并包含贪心算法,b-belg,贪心算法,二路归并,6,0
在二叉树中包含了树状数组,b-belg,树状数组,二叉树,8,1
红黑树与开放寻址具有相同的含义,syno,红黑树,开放寻址,0,4
广度优先搜索依赖于数据类型,rely,广度优先搜索,数据类型,0,9
分支限界的实现基于冲突解决,b-rely,冲突解决,分支限界,9,0
在数据结构中，多路归并和算法的确定性表示相同的概念,syno,多路归并,算法的确定性,7,12
有序表依赖于生成森林,b-rely,生成森林,有序表,6,0
优先队列是AOV网的重要属性,b-attr,优先队列,AOV网,0,5
栈内存由最好情况等部分构成,b-belg,最好情况,栈内存,4,0
分支限界的实现基于字典树,rely,分支限界,字典树,0,9
实现数据元素时需要依赖多路归并,b-rely,多路归并,数据元素,11,2
加权图的实现基于循环队列,b-rely,循环队列,加权图,8,0
拓扑排序是连通分量的重要属性,b-attr,拓扑排序,连通分量,0,5
实现哈希查找时需要依赖存储结构,b-rely,存储结构,哈希查找,11,2
比较排序是平均查找长度的组成部分,belg,平均查找长度,比较排序,5,0
动态查找的实现基于回路,b-rely,回路,动态查找,9,0
多源最短路径包含动态查找,b-belg,动态查找,多源最短路径,8,0
递归具有无序序列属性,b-attr,无序序列,递归,4,0
实现栈内存时需要依赖循环链表,rely,栈内存,循环链表,2,10
折半查找由跳跃表等部分构成,b-belg,跳跃表,折半查找,5,0
顺序访问依赖于多源最短路径,b-rely,多源最短路径,顺序访问,7,0
在希尔排序中包含了扩容,belg,希尔排序,扩容,1,9
哈希表包含回溯算法,b-belg,回溯算法,哈希表,5,0
查找失败是堆排序的重要属性,attr,堆排序,查找失败,5,0
初始化和无序序列是相反的操作,anto,初始化,无序序列,0,4
时间复杂度和入度是同义概念,syno,时间复杂度,入度,0,6
缩容等同于回溯算法,syno,缩容,回溯算法,0,5
无序表和物理结构是同义概念,syno,无序表,物理结构,0,4
索引存储与排序算法稳定性具有相同的含义,syno,索引存储,排序算法稳定性,0,5
链地址法表现出移动的特性,b-attr,移动,链地址法,7,0
邻接矩阵和复制是对立的概念,anto,邻接矩阵,复制,0,5
最短路径是顺序存储的组成部分,belg,顺序存储,最短路径,5,0
左子树是非线性结构的重要属性,b-attr,左子树,非线性结构,0,4
中序遍历需要使用入队,b-rely,入队,中序遍历,8,0
基数排序具有父节点属性,attr,基数排序,父节点,0,6
中序遍历和无向图是相反的操作,anto,中序遍历,无向图,0,5
算法的确定性是单源最短路径的组成部分,belg,单源最短路径,算法的确定性,7,0
动态内存由队列等部分构成,belg,动态内存,队列,0,5
在数据结构中，斐波那契堆和非连通图表示相同的概念,syno,斐波那契堆,非连通图,7,13
Kruskal算法等同于并查集,syno,Kruskal算法,并查集,0,12
LRU缓存和图的顶点是相反的操作,anto,LRU缓存,图的顶点,0,6
销毁的特征是子节点,attr,销毁,子节点,0,6
可持久化数据结构依赖于分支限界,b-rely,分支限界,可持久化数据结构,11,0
实现大根堆时需要依赖AOV 网,b-rely,AOV 网,大根堆,10,2
关键路径是选择排序的组成部分,b-belg,关键路径,选择排序,0,5
入栈依赖于栈内存,b-rely,栈内存,入栈,5,0
顶点度数具有递归复杂度属性,b-attr,递归复杂度,顶点度数,6,0
在算法中，顶点和最短路径执行相反的功能,anto,顶点,最短路径,5,8
路径压缩是多路归并的重要属性,b-attr,路径压缩,多路归并,0,5
红黑树的特征是有序序列,attr,红黑树,有序序列,0,7
在算法中，边和栈执行相反的功能,anto,边,栈,5,7
销毁与拓扑排序具有相反的作用,anto,销毁,拓扑排序,0,3
入度依赖于右子树,b-rely,右子树,入度,5,0
后继节点具有稀疏图属性,b-attr,稀疏图,后继节点,6,0
LFU缓存的实现基于Floyd算法,b-rely,Floyd算法,LFU缓存,10,0
树表现出稠密图的特性,b-attr,稠密图,树,4,0
贪心选择性质包含可持久化数据结构,b-belg,可持久化数据结构,贪心选择性质,8,0
链地址法与左子树具有相反的作用,anto,链地址法,左子树,0,5
移动是势能方法的组成部分,belg,势能方法,移动,3,0
散列文件包含拓扑排序,belg,散列文件,拓扑排序,0,6
归并排序是有向图的重要属性,b-attr,归并排序,有向图,0,5
内部节点具有排序算法稳定性属性,b-attr,排序算法稳定性,内部节点,6,0
双端队列与入栈具有相同的含义,syno,双端队列,入栈,0,5
树的度是局部最优的组成部分,b-belg,树的度,局部最优,0,4
多路归并的特征是分治,b-attr,分治,多路归并,8,0
引用计数的特征是插入,b-attr,插入,引用计数,8,0
原地排序和无序序列是对立的概念,anto,原地排序,无序序列,0,5
非连通图和简单排序是对立的概念,anto,非连通图,简单排序,0,5
位序需要使用贪心算法,rely,位序,贪心算法,0,6
字符串是原地排序的重要属性,b-attr,字符串,原地排序,0,4
在算法中，散列表和无序表执行相反的功能,anto,散列表,无序表,5,9
稳定性的实现基于递归基础,b-rely,递归基础,稳定性,8,0
克鲁斯卡尔算法和度是同义概念,syno,克鲁斯卡尔算法,度,0,8
平均情况和跳跃表是对立的概念,anto,平均情况,跳跃表,0,5
数组是前驱节点的组成部分,b-belg,数组,前驱节点,0,3
平衡二叉树和Dijkstra算法是相反的操作,anto,平衡二叉树,Dijkstra算法,0,6
AC自动机是边的方向的组成部分,b-belg,AC自动机,边的方向,0,6
度等同于邻接矩阵,syno,度,邻接矩阵,0,4
算法的可行性是线性查找的组成部分,belg,线性查找,算法的可行性,7,0
算法的有穷性与分治算法具有相同的含义,syno,算法的有穷性,分治算法,0,7
实现多路归并时需要依赖穷举法,b-rely,穷举法,多路归并,11,2
在数据结构中，复制和加权图表示相同的概念,syno,复制,加权图,7,10
多源最短路径由回溯法等部分构成,b-belg,回溯法,多源最短路径,7,0
非连通图与插值查找具有相反的作用,anto,非连通图,插值查找,0,5
完全二叉树的特征是Dijkstra算法,b-attr,Dijkstra算法,完全二叉树,9,0
在数据结构中，平衡因子和满二叉树表示相同的概念,syno,平衡因子,满二叉树,7,12
冒泡排序的特征是销毁,attr,冒泡排序,销毁,0,8
静态内存需要使用分治算法,b-rely,分治算法,静态内存,8,0
指数查找的实现基于深度优先搜索,rely,指数查找,深度优先搜索,0,9
栈内存包含边,b-belg,边,栈内存,5,0
双向链表表现出多路归并的特性,b-attr,多路归并,双向链表,7,0
栈内存具有层序遍历属性,b-attr,层序遍历,栈内存,5,0
垃圾回收和Prim算法是同义概念,syno,垃圾回收,Prim算法,0,5
根节点包含位序,b-belg,位序,根节点,5,0
稠密图的特征是Kruskal算法,attr,稠密图,Kruskal算法,0,7
后序遍历和LRU缓存是对立的概念,anto,后序遍历,LRU缓存,0,5
AOE 网和无序表是相反的操作,anto,AOE 网,无序表,0,6
位序由树的高度等部分构成,belg,位序,树的高度,0,3
实现算法步骤时需要依赖归并排序,b-rely,归并排序,算法步骤,11,2
二叉搜索树是十字链表的组成部分,belg,十字链表,二叉搜索树,6,0
内存池与会计方法具有相反的作用,anto,内存池,会计方法,0,4
